Position,Player,Rating
49,Liam Livingstone,498
50,Josh Inglis,488
51,Michael Levitt,484
52,Virat Kohli,480
53,Sherfane Rutherford,478
53,Heinrich Klaasen,478
53,Fakhar Zaman,478
56,Andrew Balbirnie,475
57,Mohammad Nabi,473
58,Sikandar Raza,472
60,Rohit Paudel,460
61,Rinku Singh,457
61,Moeen Ali,457
63,Aaron Johnson,453
63,Dasun Shanaka,453
63,Kusal Perera,453
66,Iftikhar Ahmed,449
67,Hardik Pandya,438
68,Najibullah Zadran,434
69,Hazratullah Zazai,433
70,Matthew Wade,431
70,Aasif Sheikh,431
72,Shai Hope,428
73,Anshuman Rath,426
74,Shivam Dube,415
75,Tony Ura,414
76,Ishan Kishan,412
77,Babar Hayat,410
78,Muhammad Tanveer,408
79,Vriitya Aravind,406
80,Mahmudullah,405
80,Ben Duckett,405
82,Matthew Cross,403
83,Shakib Al Hasan,401
84,Kane Williamson,399
84,Gerhard Erasmus,399
86,Alishan Sharafu,395
87,Curtis Campher,394
88,Dhananjaya de Silva,392
89,Harry Tector,391
90,Nikolaas Davin,389
92,Tilak Varma,387
93,Lorcan Tucker,385
94,JJ Smit,384
95,Rishabh Pant,378
96,Afif Hossain,375
97,Sybrand Engelbrecht,369
98,Brandon McMullen,365
99,Ben McDermott,364
100,Wessly Madhevere,363
