Position,Player,Rating
45,Ryan Burl,79
45,Zeeshan Maqsood,79
45,Mahmudullah,79
48,Charles Amini,78
49,Shivam Dube,77
50,Norman Vanua,76
51,Akeal Hosein,73
51,Richie Berrington,73
53,Rohan Mustafa,72
54,Mahedi Hasan,71
55,Rohit Paudel,70
56,Jan Frylinck,69
57,Sam Curran,67
58,Chris Greaves,65
59,Wessly Madhevere,64
59,Sese Bau,64
61,Yasim Murtaza,62
61,Chris Jordan,62
63,Luke Jongwe,58
64,Harry Tector,57
64,Rovman Powell,57
66,Steven Taylor,56
66,Chamika Karunaratne,56
66,Roelof van der Merwe,56
70,Glenn Phillips,55
70,Gulsan Jha,55
72,Kushal Bhurtel,54
72,Michael Bracewell,54
74,Ali Naseer,52
74,Aizaz Khan,52
76,Karan KC,51
77,Kyle Mayers,50
77,Benjamin Ward,50
77,Paul Stirling,50
80,George Dockrell,49
81,Afif Hossain,48
81,Alpesh Ramjani,48
83,Barry McCarthy,47
83,Mark Watt,47
85,Aayan Afzal Khan,45
85,Odean Smith,45
85,Alzarri Joseph,45
85,Ashton Agar,45
90,Himanshu Rathod,43
91,Virat Kohli,42
91,Mark Chapman,42
91,Keshav Maharaj,42
94,Mohammed Aslam,41
94,Daryl Mitchell,41
96,Kagiso Rabada,40
96,Dillon Heyliger,40
98,Marco Jansen,39
98,Shaheen Afridi,39
98,Sarfaraz Ali,39
